,0,1,2,3,4,5
70,735715.0,166.646884204,166.490854,167.23199235,166.071537515,3168600.0
71,735716.0,166.588377081,169.60165,170.352535179,165.798490933,5816700.0
72,735717.0,169.094557508,170.069728,170.781613186,168.509463989,4518400.0
73,735718.0,169.455380551,167.036947,169.952712626,166.071537963,5062900.0
74,735719.0,168.899526892,169.357858,169.679666214,168.138894881,3312100.0
75,735722.0,170.137997248,169.650412,171.922561204,169.387112066,4028000.0
76,735723.0,169.201827486,168.782511,169.903951217,167.690324923,3593600.0
77,735724.0,169.882965923,167.082706,171.012907777,165.913469006,3612600.0
78,735725.0,166.670037391,168.006306,168.9790221,166.090320836,2472000.0
79,735726.0,169.922274957,169.666803,170.305469629,169.234492597,3092600.0
80,735729.0,169.637328196,168.134027,169.971406155,167.87856978,2661000.0
81,735730.0,167.573981,167.573981,168.497580382,165.893812865,2962400.0
82,735731.0,168.251942437,169.273789,169.725768098,167.770487808,2457500.0
83,735732.0,170.47250131,171.012907,171.356790811,170.19738817,2439100.0
84,735733.0,170.875350628,170.236684,171.366625847,169.588211519,2916600.0
85,735736.0,170.413550097,170.040177,170.462680567,169.293443579,1970600.0
86,735737.0,169.951751187,170.452847,170.71813955,168.929890865,2523000.0
87,735738.0,170.30546919,170.727959,171.396100175,169.450655223,2300300.0
88,735739.0,170.295649799,170.31529,171.101333303,170.020521919,2295600.0
89,735740.0,170.020521502,169.214838,170.364420051,169.185362469,2849700.0
90,735744.0,169.106757949,167.161312,169.116577559,166.178761556,3854200.0
91,735745.0,168.173337559,168.998676,169.470296282,167.515029746,2764400.0
92,735746.0,168.45827006,168.713743,168.841463749,167.68206209,1731400.0
93,735747.0,168.360024546,166.689677,168.360024546,166.689677,4092000.0
94,735750.0,167.239917269,167.210427,168.055420378,166.080499889,2985500.0
95,735751.0,166.69951233,166.689677,167.475720303,165.490964475,2571400.0
96,735752.0,167.524850221,166.954969,168.566351724,166.67003625,2131000.0
97,735753.0,166.571775111,165.441848,167.623110959,164.999688511,3079300.0
98,735754.0,165.314111771,164.478938,165.962598992,164.282430859,3100500.0
99,735757.0,164.252956283,162.454887,164.361037815,162.140478717,3758700.0
100,735758.0,162.454885798,162.78895,163.123027958,160.519260449,3395900.0
101,735759.0,163.584828299,165.972419,166.434218691,163.162324731,4680500.0
102,735760.0,166.30648228,165.834862,167.465898675,165.599043999,3464000.0
103,735761.0,165.294457711,164.076104,165.36324312,163.781335918,3065100.0
104,735764.0,164.076102646,163.358831,164.076102646,161.383909531,4245700.0
105,735765.0,163.427617169,163.928712,164.478938283,163.014947948,3249800.0
106,735766.0,164.085924389,164.252956,164.921098163,163.201634884,2863000.0
107,735767.0,164.135054416,165.314112,165.775911691,164.135054416,3330900.0
108,735768.0,164.695100956,164.076104,165.481144261,163.859941919,7074000.0
109,735771.0,164.724575,164.803181,165.402536767,164.282430251,2335800.0
110,735772.0,165.441848719,165.677651,167.004099995,164.645984824,3701600.0
111,735773.0,165.766092672,164.056449,165.893813422,163.91889292,3548100.0
112,735774.0,164.871966739,163.181979,165.196210349,163.181979,2408900.0
113,735775.0,163.329356032,162.572803,163.899237254,162.34680559,8946000.0
114,735778.0,161.059666975,160.126247,162.464721972,160.047640999,3314700.0
115,735779.0,161.128452072,159.821659,161.138272664,159.291072918,3597300.0
116,735780.0,161.108797837,161.619728,162.720180571,160.745259084,3214500.0
117,735781.0,162.16995386,162.209249,162.43524641,161.550942167,2852700.0
118,735785.0,160.9712405,161.85553,162.34680522,160.666651828,3079800.0
119,735786.0,162.061871939,162.120823,162.46472155,159.399154344,3549900.0
120,735787.0,161.138272441,160.312934,162.061871821,159.84129898,2776300.0
121,735788.0,162.454886335,160.990896,162.621918928,160.843504591,4199700.0
122,735789.0,162.76930981,164.036793,164.47893775,162.631752749,4538300.0
123,735792.0,164.999689067,166.424399,166.925493831,164.596854193,4229000.0
124,735793.0,166.473514502,165.667831,166.581595051,165.304291267,3025300.0
125,735794.0,165.54009453,165.589225,166.31631724,165.068474248,1998000.0
126,735795.0,166.512824803,168.016126,168.10455161,166.208237112,3529900.0
127,735796.0,167.357817925,169.499771,169.509605347,167.131835255,4356400.0
128,735799.0,169.774884448,170.197389,170.747615284,169.136232555,7377800.0
129,735800.0,161.472336258,160.224508,163.447272478,159.192827085,13752300.0
130,735801.0,159.890429222,157.551969,160.22450718,156.913302371,7181800.0
131,735802.0,157.473363216,158.907879,159.910084381,157.041039056,5034200.0
132,735803.0,158.475553802,156.962433,159.104386084,156.62836978,3778200.0
133,735806.0,156.225520591,156.294306,157.384923237,155.832506309,3706200.0
134,735807.0,157.119644921,157.257201,157.394757079,155.734244869,2721000.0
135,735808.0,157.208070947,158.279047,158.681896612,156.608714194,3378400.0
136,735809.0,157.699345919,158.151326,158.583635421,156.962433087,1994700.0
137,735810.0,158.583636428,159.163352,159.232123654,157.827083391,3580200.0
138,735813.0,158.878402986,155.940587,159.025794395,155.144708372,4615700.0
139,735814.0,155.635984565,154.849956,156.048668525,154.132683367,5260600.0
140,735815.0,156.323781322,155.144709,156.756090743,154.732039779,3472800.0
141,735816.0,155.669792672,154.867322,156.075970645,154.728609153,3004800.0
142,735817.0,154.441310338,153.678462,154.797965843,152.905711545,3794900.0
143,735820.0,155.313137102,155.293319,156.006629016,154.66916865,4613400.0
